
Product,Price,Location,Price
Dijual Apartemen Patria Park,Rp 1.599.000.000,"Jatinegara, Jakarta Timur",3 KT - 2 KM - 86 m2
Rumah Butik Mewah dekat 200m dari Becakayu & LRT Jaktim,Rp 1.800.000.000,"Duren Sawit, Jakarta Timur",3 KT - 3 KM - 100 m2
Dijual Rumah Daerah Jelambar Hadap Utara,Rp 2.600.000.000,"Grogol Petamburan, Jakarta Barat",3 KT - 2 KM - 110 m2
PROMO MENARIK RUMAH KPR BEBAS DP,Rp 530.000.000,"Pancoran, Jakarta Selatan",2 KT - 1 KM - 40 m2
DIJUAL RUMAH READY DP 0%,Rp 720.000.000,"Kebayoran Lama, Jakarta Selatan",2 KT - 2 KM - 60 m2
DISEWAKAN / DIJUAL RUMAH KELAPA GADING,Rp 90.000.000,"Kelapa Gading, Jakarta Utara",4 KT - 4 KM - 300 m2
Rumah murah dekat stasiun Depok,Rp 220.000.000,"Jatinegara, Jakarta Timur",2 KT - 1 KM - 30 m2
"Apartemen Condominium Taman Anggrek Residences – 3BR+1 (135 m2) 4,5m",Rp 4.500.000.000,"Grogol Petamburan, Jakarta Barat",3 KT - 3 KM - 135 m2
Apartemen Cantik Disewakan di Altiz Bintaro Jaya Sektor 3,Rp 3.500.000,"Pesanggrahan, Jakarta Selatan",1 KT - 1 KM - 31 m2
DIJUAL RUMAH KELAPA GADING (KUNING MUDA),Rp 7.000.000.000,"Kelapa Gading, Jakarta Utara",6 KT - 2 KM - 180 m2
GRATIS SEMUA BIAYA KPR RUMAH SIAP HUNI,Rp 720.000.000,"Pancoran, Jakarta Selatan",2 KT - 2 KM - 60 m2
Dijual Rumah Daerah Jelambar Hadap Utara,Rp 2.600.000.000,"Grogol Petamburan, Jakarta Barat",3 KT - 2 KM - 110 m2
Dijual Murah Apartemen Verde Two 3 Bedroom Unfurnished Good View,Rp 10.550.000.000,"Setia Budi, Jakarta Selatan",3 KT - 2 KM - 211 m2
DIJUAL CEPAT RUMAH GADING GRIYA LESTARI,Rp 2.400.000.000,"Kelapa Gading, Jakarta Utara",4 KT - 3 KM - 200 m2
Dijual Rumah Di Kayu manis Timur Matraman Salemba Cocok Rumah Kosan,Rp 2.500.000.000,"Matraman, Jakarta Timur",3 KT - 2 KM - 150 m2
TERMURAH RUMAH CICILAN 3 JUTAAN,Rp 530.000.000,"Pasar Minggu, Jakarta Selatan",2 KT - 1 KM - 40 m2
DIJUAL RUMAH MINIMALIS KELAPA GADING (GADING INDAH),Rp 2.700.000.000,"Kelapa Gading, Jakarta Utara",3 KT - 3 KM - 165 m2
"Rumah siaphuni Kavling DKI Cipayung jaktim
LT 161 LB 150 M2",Rp 3.600.000.000,"Cipayung, Jakarta Timur",4 KT - 2 KM - 150 m2
Rumah bagus murah dalam cluster pinggir jalan raya utama,Rp 4.500.000.000,"Jagakarsa, Jakarta Selatan",6 KT - 5 KM - 300 m2
SPECIALIST SEWA TAHUNAN MURAH NYAMAN APARTEMEN KALIBATA CITY,Rp 24.000.000,"Kebayoran Baru, Jakarta Selatan",2 KT - 1 KM - 33 m2
GILA RUMAH CANTIK SIAP HUNI DEKAT JALAN RAYA KODAU,Rp 1.350.000.000,"Duren Sawit, Jakarta Timur",3 KT - 3 KM - 100 m2
Dijual Rumah Lokasi Strategis,Rp 1.140.000.000,"Ciracas, Jakarta Timur",3 KT - 3 KM - 120 m2
grand alifia bogor kota rumah 2 lantai,Rp 533.000.000,"Jagakarsa, Jakarta Selatan",4 KT - 2 KM - 72 m2
